Icon Name,Variant,URL
Abduction-kidnapping,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Abduction-kidnapping.svg
Abduction-kidnapping,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Abduction-kidnapping.svg
Abduction-kidnapping,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Abduction-kidnapping.svg
About,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/About.svg
About,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/About.svg
About,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/About.svg
Add-document,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Add-document.svg
Add-document,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Add-document.svg
Add-document,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Add-document.svg
Add,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Add.svg
Add,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Add.svg
Add,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Add.svg
Advocacy,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Advocacy.svg
Advocacy,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Advocacy.svg
Advocacy,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Advocacy.svg
Affected-population,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Affected-population.svg
Affected-population,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Affected-population.svg
Affected-population,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Affected-population.svg
Agile,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Agile.svg
Agile,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Agile.svg
Agile,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Agile.svg
Agriculture,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Agriculture.svg
Agriculture,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Agriculture.svg
Agriculture,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Agriculture.svg
AI-chat,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/AI-chat.svg
AI-chat,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/AI-chat.svg
AI-chat,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/AI-chat.svg
Airport-affected,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Airport-affected.svg
Airport-affected,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Airport-affected.svg
Airport-affected,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Airport-affected.svg
Airport-closed,UN-blue,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/UN-blue/Airport-closed.svg
Airport-closed,black,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/black/Airport-closed.svg
Airport-closed,white,https://raw.githubusercontent.com/UN-OCHA/humanitarian-icons/main/SVG/white/Airport-closed.svg
